"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","NA","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06/14/10_2",NA,0.784936724,0.771153675,NA,0,-0.000270833,-0.000360583,0,NA,NA,NA,-0.000333333,0,-0.000395667,3.59e-07,0,0,-5.83e-05,-0.000229333,0
"2","402BA0079","402BA0079_05/28/08_1",NA,0.765032889,0.767392935,NA,-3,0.065831665,-0.008568418,-5,NA,NA,NA,4.326902324,-6,13.622825,7.76e-08,0,0.5,0.289007668,0.094478834,-0.5
"3","402BA0095","402BA0095_05/29/08_1",NA,1.034711242,0.935744404,NA,0,-8.34e-05,-7.08e-05,0,NA,NA,NA,1.92e-09,0,-0.001708667,6.09e-06,0,0,-2.5e-05,0,0
"4","402BA0143","402BA0143_05/21/08_1",NA,0.946687754,0.91990179,NA,-159,-0.005875,-0.114743144,-36,NA,NA,NA,18.70504531,-3,32.0381045,4.35e-08,0,0,-0.04791825,-0.020145834,-3
"5","402BA0287","402BA0287_06/09/08_2",0006-09-08,0.971804075,NA,NA,0,-0.000427084,-0.000660417,0,NA,NA,NA,-0.000431467,0,-0.000646,3.02e-07,0,0,0.0190416,0.011375167,0
"6","402BA0335","402BA0335_05/27/08_2",NA,0.666458476,0.615752098,NA,-97,0.578645665,0.70529733,-5,-5,88.51270352,0,8.250127,-4,25.998,0.00026376,0,0,0.008287483,0.569896167,-3
"7","403BA0015","403BA0015_05/19/08_1",NA,1.182164104,1.115393962,NA,0,-1.65e-08,-3.33e-05,0,NA,NA,NA,-6.88e-05,0,-0.000123331,-1.08e-06,0,0,-3.3e-08,-4.17e-05,0
"8","403BA0027","403BA0027_06/18/14_1",NA,0.945257169,1.02367677,NA,0,-6.25e-05,-0.000114596,-2,NA,NA,NA,-0.000416667,0,-0.0013125,1.92e-06,0,0,0,0,0
"9","403BA0068","403BA0068_05/14/08_1",NA,0.705523667,0.6069514,NA,-11,0.000124999,0.002935417,-9,-1.5,1.545369063,-31.5,1.048971667,-1,0.570166667,-8.42e-06,0,-4,0,-0.722333667,-22
"10","403BA0136","403BA0136_06/17/14_1",NA,0.847510867,0.878007702,NA,0,-0.000427084,-0.000775,0,NA,NA,NA,0,0,0.05479185,-7.16e-06,0,0,0,0.002,-4
"11","403BA0171","403BA0171_05/19/08_1",NA,0.946897081,0.961567892,NA,-1,-0.004666667,-0.006514583,-4,NA,NA,NA,-0.0027501,0,-0.008833,1.84e-07,0,0,0.028098501,0.103833167,0
"12","403BA0960","403BA0960_05/21/08_1",NA,0.997293845,0.950553019,NA,-2,0,0,0,NA,NA,NA,0,-72,0,6.4e-06,0,1,0,0,-1
"13","403S00640","403S00640_06/11/09_2",0006-11-09,0.874679134,0.861876442,NA,-1,-0.0131665,-0.0058835,-1,NA,NA,NA,-0.009166767,-2,-0.04233333,-1.4e-05,0,-3,-0.013833333,0.0299585,-4
"14","403S00831","403S00831_06/10/10_1",0006-10-10,0.775656174,0.885027049,NA,0,0.0278229,0.0079603,-9,NA,NA,NA,-0.000279283,0,-0.000729167,5.52e-08,0,0,0.000562483,-0.000124967,0
"15","403S00875","403S00875_06/24/10_1",NA,1.085009507,1.056282842,NA,0,7.5e-10,1.25e-05,0,NA,NA,NA,0.000154266,0,0.00035167,-1.82e-07,0,0,0,3e-09,0
"16","403S01195","403S01195_06/10/09_1",0006-10-09,0.902504272,0.878650175,NA,0,-0.01548,-0.024716665,0,NA,NA,NA,0.3911124,0,-0.007833,4.94e-07,0,0,-0.005575333,0.03052,0
"17","403S01272","403S01272_06/09/09_1",0006-09-09,0.848795376,0.668706945,NA,10,0.01,-0.51,-11,NA,NA,NA,68.454075,-12,27.70316667,-0.26942602,-15,0,0.03,0.1,-54
"18","403S01536","403S01536_07/12/11_2",0007-12-11,0.831359993,0.915869811,NA,-2,0,0.1,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"19","403S01707","403S01707_06/07/10_1",0006-07-10,0.964201128,0.816379925,NA,0,0.000645834,-0.004837467,0,NA,NA,NA,0.006053833,0,-0.014335835,4.33e-08,0,0,0.007116567,0.029614583,0
"20","403S01728","403S01728_07/13/11_1",NA,0.876075759,0.695762467,NA,-4,0.01,0,-42,NA,NA,NA,0.4165,-43,1.0625,0.045833333,0,41,0,1.6,0
"21","403S01784","403S01784_06/09/09_1",0006-09-09,0.771658585,0.588322529,NA,-4.5,-0.04,-0.33,-64,NA,NA,NA,116.9638817,-88,87.13529167,-0.016001826,0,5.5,0.1,0.1,-8.5
"22","403S01883","403S01883_06/21/10_1",NA,0.865103408,0.933050007,NA,3,0,0,0,NA,NA,NA,0.00688925,0,-0.004292,-9.49e-07,0,0,0.0070251,0.014895834,0
"23","403S02363","403S02363_06/16/11_1",NA,0.665074306,0.750883955,NA,0,-0.011125,-0.022937497,0,NA,NA,NA,0.54131324,0,-0.00837333,-6.11e-08,0,0,-0.0080765,-0.01613,0
"24","403S02764","403S02764_06/14/11_1",NA,0.418621299,0.430992777,NA,-81,0.103604333,0.068474998,0,0.5,3.458721489,0,0.550133125,0,-0.013104167,1.09e-07,0,0.5,0.069400007,0.060249967,-0.5
"25","403S03643","403S03643_06/24/10_2",NA,0.833667305,0.843174876,NA,0,0.003565407,-0.017475334,0,NA,NA,NA,0.373248312,0,-0.00833667,1.66e-07,0,0,0.01115,0.087,0
"26","403S03832","403S03832_06/08/09_1",0006-08-09,0.928875137,0.868480813,NA,-6,0,0.1,-5,NA,NA,NA,0.001958333,-80,0.004333333,-3.31e-05,-1,5,-0.5,0,-6
"27","403S04600","403S04600_06/08/10_1",0006-08-10,0.549373091,0.476071619,NA,24,0.06,0,-39,NA,NA,NA,4.419755,-104,0.1,-0.244751757,0,0,0.03,0.1,-35
"28","403S05291","403S05291_06/07/10_1",0006-07-10,1.243918215,1.154595271,NA,0,-0.011820418,-0.022122917,0,NA,NA,NA,0.33355955,0,-0.007042,6.19e-07,0,0,-0.012049664,0.02900333,0
"29","403S06139","403S06139_06/27/12_1",NA,0.879417424,0.825213449,NA,0,-0.013595,-0.024234749,0,NA,NA,NA,0.512826324,0,-0.00858667,-2.5e-08,0,0,-0.009710333,-0.01927085,0
"30","403S06315","403S06315_06/27/12_1",NA,1.058080902,1.039151702,NA,-1,0.009875001,-0.0047625,-3,NA,NA,NA,-0.011375,0,-0.013398335,-8.43e-07,0,0,0.056800133,0.1001475,0
"31","403S06904","403S06904_06/09/10_1",0006-09-10,0.533277693,0.392390997,NA,-36,0.272166333,0.16840833,0,0,8.872365265,-0.5,0.212543227,-1,-0.011875,-6.87e-07,0,0,0.041397917,-0.806268725,-3
"32","403S07024","403S07024_06/13/12_1",NA,0.77872031,0.759761197,NA,-1,0.119520917,0.030583165,-1,0.5,7.473349629,-4.5,0.553823167,-1,-0.1807475,-3.68e-08,0,0,0.052533334,0.096479167,-1
"33","403S07227","403S07227_06/27/12_1",NA,1.118556896,1.146578059,NA,0,-0.01160625,-0.021950002,0,NA,NA,NA,0.493647,0,-0.00796167,5.06e-07,0,0,-0.007663664,-0.01553833,0
"34","403S11084","403S11084_06/09/10_1",0006-09-10,0.459131123,0.380713419,NA,-23,-0.04,-1.02,-25,NA,NA,NA,145.5726833,-2,76.41495833,0.034924264,0,0,-0.37,0.1,-3
"35","403S14156","403S14156_06/09/09_1",0006-09-09,0.601141583,0.3968276,NA,12,0,-1.5,-35,NA,NA,NA,167.524145,-24,81.8865,0.020930473,0,-12,-0.37,0.1,-63
"36","403S15608","403S15608_06/08/10_1",0006-08-10,0.498182176,0.525990643,NA,6,0.01,-0.51,-105,NA,NA,NA,0.128845833,-90,0.1,-0.143390565,0,0,0.03,0.1,-4
"37","403S16332","403S16332_06/26/13_1",NA,0.994054911,0.899712467,NA,-8,0.221093917,0.270152088,0,0.5,-51.47162714,-30.5,1.60580612,0,-0.35112085,1.81e-07,0,0,0.067374987,-0.416125,0
"38","403S34646","403S34646_06/25/13_1",NA,0.552564138,0.545853315,NA,-43,-0.04,-1.5,-24,NA,NA,NA,150.64977,-1.5,77.123208,0.034009708,0,9.5,-0.37,-0.1,-70
"39","403WE0501","403WE0501_05/14/13_1",NA,1.063817632,1.086274859,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0
"40","403WE0540","403WE0540_05/16/13_1",NA,1.037713016,1.000542274,NA,0,-0.003635408,-0.001033322,0,NA,NA,NA,-0.000136667,0,-0.00062333,-2.4e-06,0,0,-0.000500003,-0.00175,0
"41","403WE0683","403WE0683_05/15/13_1",NA,1.275059153,1.203430969,NA,0,0.00046875,8.25e-09,0,NA,NA,NA,-0.0003876,0,-0.000354333,2.21e-07,0,0,0.0021081,0.0011875,0
"42","403WE1027","403WE1027_05/30/13_1",NA,0.61437148,0.732838533,NA,-9,0,0.1,-2,NA,NA,NA,0,-2,0,-0.029761905,0,4,0.2,1.5,-4
"43","404BA0084","404BA0084_06/04/08_1",0006-04-08,0.858151535,0.878306692,NA,-81,0,0.097083333,-53,NA,NA,NA,0.003348333,-59,-0.124045,-0.396942963,-2,-1,-1.067325,0.2,-6
"44","404BA0376","404BA0376_06/05/08_2",0006-05-08,0.75172775,0.794168204,NA,-62,0,0.3233,-53,NA,NA,NA,0.127804167,-58,0.230541667,-0.797812008,-9,4,-0.24505,0.2,-12
"45","404BA0526","404BA0526_06/04/08_1",0006-04-08,1.017313995,0.979719374,NA,-61,0,0.363333334,-53,NA,NA,NA,0.01576,-59,0.210708333,-0.75547407,0,-18,-1.8021625,0.2,-2
"46","404BA0616","404BA0616_06/03/08_1",0006-03-08,0.64591829,0.700027362,NA,-2,0,0.1,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"47","404BA0852","404BA0852_06/03/08_1",0006-03-08,0.685567256,0.68218454,NA,-61,0,0.355841667,-53,NA,NA,NA,0.092072917,-3,0.231041667,-0.623253295,-2,-29,-2.044320833,0.2,-8
"48","404BA0964","404BA0964_06/04/08_1",0006-04-08,1.101138447,1.037665585,NA,-61,0,0.3542875,-53,NA,NA,NA,0.046497917,-56,0.215666667,-0.701408451,-2,-9,-2.0697625,0.2,-4
"49","404BA1144","404BA1144_06/10/08_1",0006-10-08,1.128912965,1.112705053,NA,-62,0.000283334,0.3755125,-53,NA,NA,NA,0.079101667,-57,0.40870833,-0.770003174,-2,-6,-2.069833334,-0.124125,-8
"50","404S00808","404S00808_06/22/10_1",NA,0.669065331,0.5666835,NA,-39,0,0.086429167,-50,NA,NA,NA,26.46414583,-82,18.83879167,-0.284038721,21,50,-2.76,-0.698916667,-77
"51","404S01128","404S01128_06/23/10_1",NA,0.505063358,0.490078746,NA,-111,0,0.211666667,-52,NA,NA,NA,12.34711875,-80,2.28925,-0.627586195,-2,25,-2.045658333,-0.7,-10
"52","404S02920","404S02920_05/12/09_1",0005-12-09,0.659533044,0.553572685,NA,-13,0,0.369,-3,NA,NA,NA,0.99865,-16,-1.921041667,-0.469795425,25.5,36.5,-2.248916967,-0.150666667,-38
"53","404S03048","404S03048_05/13/09_1",NA,0.619699008,0.569962578,NA,-75,0,0.227466667,-1,NA,NA,NA,0.318761667,-57,0.20475,-0.639421732,-1,13,-2.07,0.2,-33
"54","404S06456","404S06456_05/14/09_1",NA,0.816579272,0.788104828,NA,-83,0,0.40325,-53,NA,NA,NA,1.508665,-74,0.382833333,-0.34740626,-2,-6,-0.027,-0.693,-36
"55","404S08040","404S08040_05/12/09_1",0005-12-09,0.766058385,0.657723285,NA,-17.5,0,-0.34,-26,NA,NA,NA,14.5443,-19,3.252083333,-0.254685933,21,33.5,-2.058533333,-0.7,-20.5
"56","404S08616","404S08616_05/13/09_2",NA,0.670970298,0.508440414,NA,18,0.06,-0.4,-93,NA,NA,NA,16.55860167,-55,15.13683333,0.121399896,-45,21,0.03,-0.1,-10
"57","404S08846","404S08846_06/22/10_1",NA,1.02169269,0.860914401,NA,-82,0,0.364341666,-8,NA,NA,NA,1.643105,-60,-3.087458333,-0.276191377,-2,28,-1.9467875,-0.444666667,-33
"58","404S11880","404S11880_06/07/11_2",0006-07-11,0.438417307,0.449692016,NA,-31,0,0.33925002,-14,NA,NA,NA,9.484143332,-60,5.1200083,-0.034058569,-2,33.5,-1.942291667,-1.769375,-13
"59","404S13416","404S13416_06/08/11_1",0006-08-11,0.499978882,0.543604276,NA,-77,0,0.346916667,-71,NA,NA,NA,14.00551667,-26,2.422875,-0.590161061,9,29,-3.030929167,-0.7,-12
"60","404S14952","404S14952_06/15/11_1",NA,0.615161598,0.581735967,NA,-81,0,0.2737125,-66,NA,NA,NA,4.625938333,-21,0.267416667,-0.406060606,-8,24,-1.774375,0.185958333,-38
"61","404S16232","404S16232_06/09/11_1",0006-09-11,0.560599743,0.560906902,NA,-27,0,0.120666667,-8,NA,NA,NA,30.452525,-28,20.41845833,-0.349166449,19,39,-2.7999,-0.571541667,-27
"62","404S16516","404S16516_05/18/09_1",NA,0.623378316,0.538706534,NA,-21,0.048458333,0.369345832,-33,7,15.27580761,-19.5,32.23868333,-31,18.35396,2.44e-06,32,45,0.057279167,0.023645833,-20
"63","404S17266","404S17266_05/19/09_1",NA,0.543068447,0.582339242,NA,-81,0,0.212495834,-43,NA,NA,NA,11.89824167,-21,1.514041667,-0.629456001,-2,0,-2.012625,-0.7,-10
"64","404S17664","404S17664_05/20/09_1",NA,0.835795147,0.718230198,NA,-88,0,0.202191667,-64,NA,NA,NA,3.396354532,-74,0.582125,-0.567470168,-2,26,-0.926533333,-0.58629,-43
"65","404S22464","404S22464_05/19/09_1",NA,0.523561365,0.503025599,NA,-11.5,0,0.354129166,-71,NA,NA,NA,10.24627667,-9,0.514375,-0.450244198,-1,24,-2.7599375,-0.7,-53
"66","404S25668","404S25668_06/23/10_2",NA,0.584606729,0.501848971,NA,-81,0,0.352575,-71,NA,NA,NA,10.15873,-18,0.638791667,-0.458840527,-1,23,-2.028033333,-0.7,-47
"67","404S26868","404S26868_06/26/12_1",NA,0.478045409,0.510693455,NA,-23,0.000441667,0.2430625,-67,NA,NA,NA,9.67999833,-76,1.468541667,-0.590855754,0,27,0.02,-5.3548125,-56
"68","404S28068","404S28068_06/20/12_1",NA,0.39740922,0.379455016,NA,-81,0,0.201791667,-61,NA,NA,NA,4.120416667,-19,0.269875,-0.397758412,-8,28,-1.181641667,-0.154083334,-43
"69","404S28270","404S28270_06/18/12_1",NA,0.57206026,0.585428661,NA,-59.5,0.011510417,0.008220833,-4,7,14.05266001,-19,26.82958879,-34.5,2.95608333,6e-06,35.5,76.5,0,0.000627083,-30.5
"70","404S32468","404S32468_06/26/12_1",NA,0.966662549,0.842089544,NA,-46.5,0,-0.034516667,-72,NA,NA,NA,64.76121,-22,36.2636667,-0.407691803,21,42.5,-2.737991667,-0.649666667,-33.5
"71","404S34120","404S34120_06/21/12_1",NA,0.73982095,0.768121518,NA,-41,-0.001,0.005258307,-7.5,NA,NA,NA,4.802558213,-50,2.290520834,1.03e-05,39.5,79.5,0,0,-37
"72","404S35270","404S35270_06/20/12_1",NA,0.564276587,0.465863956,NA,-21,0,0.284208334,0,NA,NA,NA,8.41879167,-77,0.518666667,-0.336843456,-1,25.5,-2.7599375,-0.078958334,-13
"73","404S45622","404S45622_06/03/13_2",0006-03-13,0.770437524,0.769777313,NA,-104,0,0.382875,-53,NA,NA,NA,1.559548333,-56,0.363875,-0.342611105,-1,-6,-3.437312501,-0.4866875,-4
"74","405CE0280","405CE0280_07/06/15_1",0007-06-15,1.239308536,1.215676055,NA,0,-0.000729334,-0.000525007,0,NA,NA,NA,-0.000297511,0,-0.00025,0,0,0,0,3.11e-05,0
"75","405PS0030","405PS0030_07/08/15_1",0007-08-15,0.83116607,0.764194253,NA,NA,0.007250033,0.00104164,0,NA,NA,NA,-0.000833137,0,-0.0095185,-7.97e-07,0,0,0,0.0004375,0
"76","408BA0268","408BA0268_05/06/08_1",0005-06-08,0.654192668,0.506473839,NA,-11,0,0.3508417,-53,NA,NA,NA,0.065161667,-30,0.39175,-0.000538229,0,-1,0.006866667,0,-11
"77","408BA0660","408BA0660_06/04/14_1",0006-04-14,0.882408095,NA,NA,166,-0.1096875,0.026367,-123.5,NA,NA,NA,207.8450729,-79,100.0962913,-3.21e-05,-133,-10,-0.494441334,-0.496208333,-157
"78","408BA0836","408BA0836_06/04/14_1",0006-04-14,0.674468322,NA,NA,161.5,-0.2711665,-0.215308333,-110.5,NA,NA,NA,230.5497117,-52.5,128.741625,-2.26e-05,-137,-29,-0.387408134,-0.55525,28
"79","408BA0916","408BA0916_05/08/08_1",0005-08-08,0.448787462,0.510534158,NA,166,-0.208104334,-0.221645833,-123.5,NA,NA,NA,155.4699034,-57.5,222.579125,-2.71e-05,-132,-27,-0.397999667,-0.574771167,3
"80","408PS0032","408PS0032_05/21/08_1",NA,0.487464108,0.352900804,NA,162.5,-0.2850625,-0.116529167,-123,NA,NA,NA,375.0412211,-80,312.4383767,-3.48e-05,-135,-11.5,-0.864128833,-0.92441833,23
"81","412WE0552","412WE0552_08/26/15_1",NA,0.767868747,0.76655292,NA,-34,0.01,0,-2,NA,NA,NA,0.068416672,-43,0.7125,0.008368774,0,-10,0.12,0,0
"82","481S05856","481S05856_06/13/13_1",NA,1.007353312,0.933039021,NA,NA,0,0,0,NA,NA,NA,-0.000402117,NA,-0.047000003,1.59e-05,NA,NA,-0.01075,-0.007437833,NA
"83","722ABSPPC","722ABSPPC_05/20/13_1",NA,1.110875757,0.941230111,NA,NA,0.001354166,0.00029166,0,NA,NA,NA,0.001351667,0,-0.000541667,4.11e-06,0,0,0,0,0
"84","722PS0535","722PS0535_05/26/09_1",NA,0.824247119,0.698817116,NA,0,0.000854167,0.00153125,0,NA,NA,NA,0,NA,0,0,NA,NA,-0.000500166,0,0
"85","722PS0611","722PS0611_06/08/10_1",0006-08-10,0.83899663,0.500368033,NA,NA,0.014458175,7.08e-05,0,NA,NA,NA,-0.003053355,0,-0.031,2.57e-07,0,3,0.003,0.006375,-3
"86","801LYC271","801LYC271_06/10/14_1",0006-10-14,1.140865975,1.175684389,NA,0.5,0.005749999,-9.38e-05,0,NA,NA,NA,-0.001541657,0,-0.05891917,4.64e-07,0,2,0.00075,0.005437517,-2
"87","801MIC042","801MIC042_06/09/14_1",0006-09-14,0.73805956,0.755952716,NA,150.5,-0.654010583,-0.450560617,-97,NA,NA,NA,141.8466912,-120,86.99510417,-8.17e-05,-27,-5.5,-0.6994436,-0.841719,27
"88","801S08727","801S08727_06/05/13_2",0006-05-13,1.07949878,1.162386609,NA,1,0.1,0.1,12,NA,NA,NA,0,12,0,-0.02,0,-1,0,0,1
"89","801SJR159","801SJR159_06/03/14_1",0006-03-14,0.679182143,0.664625883,NA,-5,0.0046875,0,-4,NA,NA,NA,1.260235584,-7,2.47662,-2.74e-05,0,0,0.414657668,-0.050915,-30
"90","801WE0674","801WE0674_05/14/13_1",NA,0.890182378,1.009382111,NA,-4,0,-0.000570866,-7,NA,NA,NA,0,-4,0,-1.23e-05,0,-2,0,0,-1
"91","801WE1008","801WE1008_05/14/13_1",NA,1.054818609,1.031477403,NA,2,0.1,0.1,12,NA,NA,NA,0,12,0,-0.02,0,-2,0,0,2
"92","801WE1132","801WE1132_08/19/09_1",NA,0.979238503,1.034650763,NA,-2,0,0,-47,NA,NA,NA,0.001065,-47,0.001625,-0.000227264,0,0,0,0,0
"93","802SJR116","802SJR116_06/12/14_1",0006-12-14,0.340720464,0.29614746,NA,124,-0.028208334,-0.03509587,-19.5,NA,NA,NA,68.2881251,-38,219.6307092,9.75e-08,0,2,-0.218583332,-0.281708335,-23
"94","901DCCSMC","901DCCSMC_05/16/11_1",NA,1.121869904,1.150047343,NA,NA,0.05050025,0.025783333,-30,NA,NA,NA,-0.004891666,0,-0.004958667,-3.35e-07,-1,-1,0.068683333,0.039770867,0
"95","901PS0057","901PS0057_05/14/08_1",NA,0.811505242,0.833804933,NA,-29,0.040791667,0.423968749,-3,NA,NA,NA,45.37532636,-63,19.92504166,4.52e-06,52,82,0.004341667,1.783166584,-33
"96","901S00313","901S00313_04/30/09_1",NA,1.244625897,1.133369683,NA,-9,0,0.01,-2,0,0.22561923,0,0,26,0,-0.029761905,-29,-25,-0.832,1.5,-4
"97","901S00469","901S00469_05/13/09_1",NA,1.09138478,0.987243828,NA,-31,-0.02,-0.62,-16,NA,NA,NA,0,-6,0,-0.035714286,0,26,-0.62,0,-27
"98","901S00997","901S00997_05/14/09_1",NA,0.819319136,0.932932294,NA,-39,0.0015,0,5,NA,NA,NA,17.15970004,-59,2.78475,3.82e-05,73,112.5,0,-0.784292,-25.5
"99","901S01705","901S01705_05/14/09_1",NA,1.122029647,1.134198522,NA,0,-2.08e-05,-3.33e-05,0,NA,NA,NA,-4.17e-05,0,-5e-04,1.06e-06,0,0,-2.08e-05,0,0
"100","901S01811","901S01811_05/07/09_1",0005-07-09,0.522658112,0.500583154,NA,-64,0.019458333,0.0159,-38,NA,NA,NA,77.01663333,-32,31.50525,4.43e-06,34,70,-1.193574667,-1.490645833,-25
"101","901S01849","901S01849_06/01/10_1",0006-01-10,1.174047017,1.154585386,NA,-2,0,0.1,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"102","901S02873","901S02873_06/01/10_1",0006-01-10,0.888181397,0.888658416,NA,0,-8.33e-05,-0.005241667,0,NA,NA,NA,-0.000763125,0,0.850675,3.71e-05,0,0,-0.0010625,-7.29e-05,-11
"103","901S04309","901S04309_05/16/11_1",NA,0.990142206,1.067219079,NA,-25,-0.02,-0.61,-9,NA,NA,NA,0,3.5,0.015145834,-0.035714286,0,0,-0.62,0,-31
"104","901S04409","901S04409_05/19/11_1",NA,1.065534008,0.808495179,NA,-9,0,0.01,-2,0,0.201759182,-0.5,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"105","901S04565","901S04565_05/26/11_1",NA,1.080869546,0.950181415,NA,-38,-0.02,-0.62,-5,NA,NA,NA,0,-6,0,-0.035714286,0,26,-0.62,0,-27
"106","901S06851","901S06851_05/19/11_1",NA,0.608459723,0.773719293,NA,-78.5,0.010208334,0.012108333,20,NA,NA,NA,56.77216521,-34,20.27249833,1.54e-05,44,108,0,-0.735458167,-53
"107","901S06969","901S06969_05/31/12_1",NA,0.715627218,0.819441477,NA,-2,0,0.1,-2,NA,NA,NA,0,27,0,-0.029761905,-29,-25,-0.832,1.5,-4
"108","902S01097","902S01097_05/11/09_1",0005-11-09,0.811432501,0.771653048,NA,0,-0.002062517,-0.003349967,-6,NA,NA,NA,0.84526249,-72,2.854562332,3.12e-07,0,0,-0.251333334,-0.022604167,-14
"109","902S02293","902S02293_05/27/10_1",NA,0.518563284,0.51805688,NA,-13,0,-1.43,-81,NA,NA,NA,0.3,-67,38.2409533,3.78e-05,-1,-45,0.02,-9.0129167,-8
