site,FFM,Biol,High,Low,Direction
101010,DS_Dur_WS,CSCI,100,0,High
101011,DS_Dur_WS,CSCI,100,0,High
101012,DS_Dur_WS,CSCI,100,0,High
101020,DS_Dur_WS,CSCI,100,0,High
201010,DS_Dur_WS,CSCI,100,0,High
201020,DS_Dur_WS,CSCI,100,0,High
201030,DS_Dur_WS,CSCI,100,0,High
201031,DS_Dur_WS,CSCI,100,0,High
201040,DS_Dur_WS,CSCI,100,0,High
201041,DS_Dur_WS,CSCI,100,0,High
201050,DS_Dur_WS,CSCI,100,0,High
201060,DS_Dur_WS,CSCI,89,11,High
201061,DS_Dur_WS,CSCI,100,0,High
201062,DS_Dur_WS,CSCI,100,0,High
201070,DS_Dur_WS,CSCI,100,0,High
201080,DS_Dur_WS,CSCI,100,0,High
201090,DS_Dur_WS,CSCI,100,0,High
201091,DS_Dur_WS,CSCI,100,0,High
201100,DS_Dur_WS,CSCI,100,0,High
203010,DS_Dur_WS,CSCI,100,0,High
204010,DS_Dur_WS,CSCI,100,0,High
205010,DS_Dur_WS,CSCI,100,0,High
207010,DS_Dur_WS,CSCI,100,0,High
301010,DS_Dur_WS,CSCI,67,33,High
301011,DS_Dur_WS,CSCI,100,0,High
301020,DS_Dur_WS,CSCI,100,0,High
401070,DS_Dur_WS,CSCI,100,0,High
401080,DS_Dur_WS,CSCI,88,13,High
401100,DS_Dur_WS,CSCI,100,0,High
401110,DS_Dur_WS,CSCI,100,0,High
401120,DS_Dur_WS,CSCI,100,0,High
401121,DS_Dur_WS,CSCI,100,0,High
402010,DS_Dur_WS,CSCI,100,0,High
402020,DS_Dur_WS,CSCI,91,9,High
402021,DS_Dur_WS,CSCI,91,9,High
402022,DS_Dur_WS,CSCI,90,10,High
402023,DS_Dur_WS,CSCI,90,10,High
402030,DS_Dur_WS,CSCI,83,17,High
402031,DS_Dur_WS,CSCI,91,9,High
402040,DS_Dur_WS,CSCI,100,0,High
402041,DS_Dur_WS,CSCI,100,0,High
402050,DS_Dur_WS,CSCI,50,50,Both
402051,DS_Dur_WS,CSCI,50,50,Both
402060,DS_Dur_WS,CSCI,67,33,High
403010,DS_Dur_WS,CSCI,100,0,High
403011,DS_Dur_WS,CSCI,86,14,High
403020,DS_Dur_WS,CSCI,43,57,Both
403030,DS_Dur_WS,CSCI,50,50,Both
404010,DS_Dur_WS,CSCI,100,0,High
405010,DS_Dur_WS,CSCI,0,100,Low
405020,DS_Dur_WS,CSCI,0,100,Low
501010,DS_Dur_WS,CSCI,100,0,High
501020,DS_Dur_WS,CSCI,100,0,High
502010,DS_Dur_WS,CSCI,100,0,High
502011,DS_Dur_WS,CSCI,100,0,High
502020,DS_Dur_WS,CSCI,100,0,High
101010,DS_Dur_WS,ASCI,100,0,High
101011,DS_Dur_WS,ASCI,100,0,High
101012,DS_Dur_WS,ASCI,100,0,High
101020,DS_Dur_WS,ASCI,100,0,High
201010,DS_Dur_WS,ASCI,100,0,High
201020,DS_Dur_WS,ASCI,100,0,High
201030,DS_Dur_WS,ASCI,100,0,High
201031,DS_Dur_WS,ASCI,100,0,High
201040,DS_Dur_WS,ASCI,100,0,High
201041,DS_Dur_WS,ASCI,100,0,High
201050,DS_Dur_WS,ASCI,100,0,High
201060,DS_Dur_WS,ASCI,78,22,High
201061,DS_Dur_WS,ASCI,100,0,High
201062,DS_Dur_WS,ASCI,86,14,High
201070,DS_Dur_WS,ASCI,88,13,High
201080,DS_Dur_WS,ASCI,88,13,High
201090,DS_Dur_WS,ASCI,100,0,High
201091,DS_Dur_WS,ASCI,100,0,High
201100,DS_Dur_WS,ASCI,100,0,High
203010,DS_Dur_WS,ASCI,100,0,High
204010,DS_Dur_WS,ASCI,100,0,High
205010,DS_Dur_WS,ASCI,100,0,High
207010,DS_Dur_WS,ASCI,100,0,High
301010,DS_Dur_WS,ASCI,67,33,High
301011,DS_Dur_WS,ASCI,100,0,High
401070,DS_Dur_WS,ASCI,0,100,Low
401080,DS_Dur_WS,ASCI,86,14,High
401100,DS_Dur_WS,ASCI,100,0,High
401110,DS_Dur_WS,ASCI,88,13,High
401120,DS_Dur_WS,ASCI,100,0,High
401121,DS_Dur_WS,ASCI,100,0,High
402010,DS_Dur_WS,ASCI,100,0,High
402020,DS_Dur_WS,ASCI,83,17,High
402021,DS_Dur_WS,ASCI,91,9,High
402022,DS_Dur_WS,ASCI,80,20,High
402023,DS_Dur_WS,ASCI,82,18,High
402030,DS_Dur_WS,ASCI,80,20,High
402031,DS_Dur_WS,ASCI,82,18,High
402040,DS_Dur_WS,ASCI,100,0,High
402041,DS_Dur_WS,ASCI,100,0,High
402050,DS_Dur_WS,ASCI,33,67,Low
402051,DS_Dur_WS,ASCI,50,50,Both
402060,DS_Dur_WS,ASCI,67,33,High
403010,DS_Dur_WS,ASCI,67,33,High
403011,DS_Dur_WS,ASCI,80,20,High
403020,DS_Dur_WS,ASCI,0,100,Low
403030,DS_Dur_WS,ASCI,22,78,Low
404010,DS_Dur_WS,ASCI,33,67,Low
405010,DS_Dur_WS,ASCI,0,100,Low
405020,DS_Dur_WS,ASCI,0,100,Low
501010,DS_Dur_WS,ASCI,100,0,High
501020,DS_Dur_WS,ASCI,100,0,High
502010,DS_Dur_WS,ASCI,100,0,High
502011,DS_Dur_WS,ASCI,100,0,High
502020,DS_Dur_WS,ASCI,100,0,High
101010,Q99,CSCI,100,0,High
101011,Q99,CSCI,100,0,High
101012,Q99,CSCI,100,0,High
201010,Q99,CSCI,100,0,High
201020,Q99,CSCI,100,0,High
201030,Q99,CSCI,100,0,High
201040,Q99,CSCI,100,0,High
201041,Q99,CSCI,100,0,High
201050,Q99,CSCI,100,0,High
201060,Q99,CSCI,100,0,High
201061,Q99,CSCI,100,0,High
201062,Q99,CSCI,100,0,High
201070,Q99,CSCI,100,0,High
201080,Q99,CSCI,100,0,High
201090,Q99,CSCI,100,0,High
201100,Q99,CSCI,100,0,High
203010,Q99,CSCI,100,0,High
204010,Q99,CSCI,100,0,High
205010,Q99,CSCI,100,0,High
207010,Q99,CSCI,100,0,High
301010,Q99,CSCI,100,0,High
301011,Q99,CSCI,100,0,High
301020,Q99,CSCI,100,0,High
301030,Q99,CSCI,100,0,High
401070,Q99,CSCI,100,0,High
401080,Q99,CSCI,100,0,High
401100,Q99,CSCI,100,0,High
401110,Q99,CSCI,100,0,High
401120,Q99,CSCI,0,100,Low
402010,Q99,CSCI,100,0,High
402020,Q99,CSCI,100,0,High
402021,Q99,CSCI,100,0,High
402022,Q99,CSCI,100,0,High
402023,Q99,CSCI,100,0,High
402030,Q99,CSCI,100,0,High
402031,Q99,CSCI,100,0,High
402040,Q99,CSCI,100,0,High
402041,Q99,CSCI,0,100,Low
402050,Q99,CSCI,100,0,High
402051,Q99,CSCI,100,0,High
402060,Q99,CSCI,100,0,High
403010,Q99,CSCI,100,0,High
403011,Q99,CSCI,100,0,High
403020,Q99,CSCI,100,0,High
403030,Q99,CSCI,100,0,High
404010,Q99,CSCI,100,0,High
405010,Q99,CSCI,100,0,High
405020,Q99,CSCI,100,0,High
501010,Q99,CSCI,100,0,High
501020,Q99,CSCI,100,0,High
502010,Q99,CSCI,100,0,High
502011,Q99,CSCI,100,0,High
502020,Q99,CSCI,100,0,High
101010,Q99,ASCI,100,0,High
101011,Q99,ASCI,100,0,High
101012,Q99,ASCI,100,0,High
201010,Q99,ASCI,100,0,High
201020,Q99,ASCI,100,0,High
201030,Q99,ASCI,100,0,High
201040,Q99,ASCI,100,0,High
201041,Q99,ASCI,100,0,High
201050,Q99,ASCI,100,0,High
201060,Q99,ASCI,100,0,High
201061,Q99,ASCI,100,0,High
201062,Q99,ASCI,100,0,High
201070,Q99,ASCI,100,0,High
201080,Q99,ASCI,100,0,High
201090,Q99,ASCI,100,0,High
201100,Q99,ASCI,100,0,High
203010,Q99,ASCI,100,0,High
204010,Q99,ASCI,100,0,High
205010,Q99,ASCI,100,0,High
207010,Q99,ASCI,100,0,High
301010,Q99,ASCI,100,0,High
301020,Q99,ASCI,100,0,High
301030,Q99,ASCI,100,0,High
401080,Q99,ASCI,100,0,High
401110,Q99,ASCI,100,0,High
401120,Q99,ASCI,0,100,Low
402020,Q99,ASCI,100,0,High
402021,Q99,ASCI,100,0,High
402022,Q99,ASCI,100,0,High
402023,Q99,ASCI,100,0,High
402030,Q99,ASCI,100,0,High
402031,Q99,ASCI,100,0,High
402041,Q99,ASCI,0,100,Low
402050,Q99,ASCI,100,0,High
402051,Q99,ASCI,100,0,High
402060,Q99,ASCI,100,0,High
403011,Q99,ASCI,100,0,High
403020,Q99,ASCI,100,0,High
403030,Q99,ASCI,100,0,High
404010,Q99,ASCI,100,0,High
405010,Q99,ASCI,100,0,High
405020,Q99,ASCI,100,0,High
501010,Q99,ASCI,100,0,High
501020,Q99,ASCI,100,0,High
502010,Q99,ASCI,100,0,High
502011,Q99,ASCI,100,0,High
502020,Q99,ASCI,100,0,High
101010,Q99,ASCI,100,0,High
101010,SP_Dur,ASCI,10,90,Low
101011,SP_Dur,ASCI,20,80,Low
101012,SP_Dur,ASCI,11,89,Low
101020,SP_Dur,ASCI,50,50,Both
201010,SP_Dur,ASCI,11,89,Low
201020,SP_Dur,ASCI,12,88,Low
201030,SP_Dur,ASCI,33,67,Low
201031,SP_Dur,ASCI,50,50,Both
201040,SP_Dur,ASCI,24,76,Low
201041,SP_Dur,ASCI,25,75,Low
201050,SP_Dur,ASCI,18,82,Low
201060,SP_Dur,ASCI,41,59,Both
201061,SP_Dur,ASCI,67,33,High
201062,SP_Dur,ASCI,47,53,Both
201070,SP_Dur,ASCI,14,86,Low
201080,SP_Dur,ASCI,13,87,Low
201090,SP_Dur,ASCI,17,83,Low
201091,SP_Dur,ASCI,50,50,Both
201100,SP_Dur,ASCI,19,81,Low
203010,SP_Dur,ASCI,22,78,Low
204010,SP_Dur,ASCI,10,90,Low
205010,SP_Dur,ASCI,50,50,Both
207010,SP_Dur,ASCI,57,43,Both
301010,SP_Dur,ASCI,67,33,High
301011,SP_Dur,ASCI,25,75,Low
301020,SP_Dur,ASCI,50,50,Both
301030,SP_Dur,ASCI,100,0,High
401070,SP_Dur,ASCI,100,0,High
401080,SP_Dur,ASCI,27,73,Low
401100,SP_Dur,ASCI,40,60,Low
401110,SP_Dur,ASCI,50,50,Both
401120,SP_Dur,ASCI,33,67,Low
401121,SP_Dur,ASCI,0,100,Low
402010,SP_Dur,ASCI,14,86,Low
402020,SP_Dur,ASCI,33,67,Low
402021,SP_Dur,ASCI,35,65,Low
402022,SP_Dur,ASCI,30,70,Low
402023,SP_Dur,ASCI,25,75,Low
402030,SP_Dur,ASCI,25,75,Low
402031,SP_Dur,ASCI,26,74,Low
402040,SP_Dur,ASCI,7,93,Low
402041,SP_Dur,ASCI,0,100,Low
402050,SP_Dur,ASCI,50,50,Both
402051,SP_Dur,ASCI,43,57,Both
402060,SP_Dur,ASCI,60,40,High
403010,SP_Dur,ASCI,67,33,High
403011,SP_Dur,ASCI,21,79,Low
403020,SP_Dur,ASCI,91,9,High
403030,SP_Dur,ASCI,64,36,High
404010,SP_Dur,ASCI,77,23,High
405010,SP_Dur,ASCI,75,25,High
405020,SP_Dur,ASCI,86,14,High
501010,SP_Dur,ASCI,67,33,High
501011,SP_Dur,ASCI,71,29,High
501020,SP_Dur,ASCI,67,33,High
502010,SP_Dur,ASCI,50,50,Both
502011,SP_Dur,ASCI,50,50,Both
502020,SP_Dur,ASCI,50,50,Both
502030,SP_Dur,ASCI,80,20,High
101010,SP_Tim,CSCI,100,0,High
101011,SP_Tim,CSCI,100,0,High
101012,SP_Tim,CSCI,100,0,High
101020,SP_Tim,CSCI,100,0,High
201010,SP_Tim,CSCI,100,0,High
201020,SP_Tim,CSCI,100,0,High
201030,SP_Tim,CSCI,100,0,High
201031,SP_Tim,CSCI,100,0,High
201040,SP_Tim,CSCI,100,0,High
201041,SP_Tim,CSCI,100,0,High
201050,SP_Tim,CSCI,100,0,High
201060,SP_Tim,CSCI,100,0,High
201061,SP_Tim,CSCI,100,0,High
201062,SP_Tim,CSCI,100,0,High
201070,SP_Tim,CSCI,100,0,High
201080,SP_Tim,CSCI,100,0,High
201090,SP_Tim,CSCI,100,0,High
201091,SP_Tim,CSCI,100,0,High
201100,SP_Tim,CSCI,100,0,High
203010,SP_Tim,CSCI,100,0,High
204010,SP_Tim,CSCI,100,0,High
205010,SP_Tim,CSCI,100,0,High
207010,SP_Tim,CSCI,100,0,High
301010,SP_Tim,CSCI,100,0,High
301011,SP_Tim,CSCI,100,0,High
301020,SP_Tim,CSCI,100,0,High
301030,SP_Tim,CSCI,100,0,High
401080,SP_Tim,CSCI,100,0,High
401100,SP_Tim,CSCI,100,0,High
401110,SP_Tim,CSCI,100,0,High
401120,SP_Tim,CSCI,100,0,High
401121,SP_Tim,CSCI,100,0,High
402010,SP_Tim,CSCI,100,0,High
402020,SP_Tim,CSCI,100,0,High
402021,SP_Tim,CSCI,100,0,High
402022,SP_Tim,CSCI,100,0,High
402023,SP_Tim,CSCI,100,0,High
402030,SP_Tim,CSCI,100,0,High
402031,SP_Tim,CSCI,100,0,High
402040,SP_Tim,CSCI,100,0,High
402041,SP_Tim,CSCI,100,0,High
402050,SP_Tim,CSCI,100,0,High
402051,SP_Tim,CSCI,100,0,High
402060,SP_Tim,CSCI,100,0,High
403011,SP_Tim,CSCI,100,0,High
403020,SP_Tim,CSCI,100,0,High
403030,SP_Tim,CSCI,100,0,High
404010,SP_Tim,CSCI,100,0,High
405010,SP_Tim,CSCI,100,0,High
405020,SP_Tim,CSCI,100,0,High
501010,SP_Tim,CSCI,100,0,High
501011,SP_Tim,CSCI,100,0,High
501020,SP_Tim,CSCI,100,0,High
502010,SP_Tim,CSCI,100,0,High
502011,SP_Tim,CSCI,100,0,High
502020,SP_Tim,CSCI,100,0,High
502030,SP_Tim,CSCI,100,0,High